slot,tx_count,compute_units
110593040,157,255433
110593041,1078,916383
110593042,1550,1351197
110593043,1453,1458703
110593044,1904,1541449
110593045,1671,1405732
110593046,1750,1960856
110593047,1894,1831497
110593048,3592,3202993
110593049,1762,3169631
110593050,1249,3262222
110593051,1372,1605439
110593052,3737,2537033
110593053,1708,3101541
110593054,562,1479083
110593055,1503,1624089
110593056,2311,1468045
110593057,1783,2027617
110593058,1380,1197947
110593059,490,1179460
110593060,3082,2606439
110593061,1789,1965544
110593062,1898,2145059
110593063,553,1527673
110593064,1656,1151632
110593065,1732,1551957
110593066,1330,1983825
110593067,2022,1733675
110593068,3358,3387168
110593069,1650,4295255
110593070,921,2201454
110593071,983,1511664
110593072,0,0
110593073,1807,2471182
110593074,1799,2419098
110593075,1460,2501862
110593076,2190,38855
110593077,1736,1131391
110593078,1579,1215336
110593079,557,2058048
110593080,2243,2429321
110593081,2182,2148579
110593082,1745,1678143
110593083,1216,1868154
110593084,1228,1218994
110593085,2009,1851983
110593086,1436,1329367
110593087,1431,1659466
110593088,4278,4308312
110593089,1059,3041844
110593090,1062,2227233
110593091,2320,1458313
110593092,3294,2039622
110593093,730,2564017
110593094,1799,2183657
110593095,624,1737872
110593096,1295,1555882
110593097,1743,1780388
110593098,1535,1445505
110593099,1578,1604073
110593100,1585,1262156
110593101,1810,1439841
110593102,1606,1327755
110593103,1884,1871267
110593104,966,939878
110593105,1359,1087618
110593106,1194,1058002
110593107,1253,1638864
110593108,2984,2105009
110593109,2499,3498827
110593110,2048,2974009
110593111,936,2245737
110593112,0,0
110593113,0,0
110593114,0,0
110593115,0,0
110593116,1105,1937589
110593117,743,2635155
110593118,1591,2277062
110593119,1237,1668061
110593120,3514,2467342
110593121,1120,2406603
110593122,1393,1627637
110593123,1463,2678026
110593124,1532,715414
110593125,1318,1274420
110593126,997,1469804
110593127,1408,1990825
110593128,4467,3805228
110593129,1310,3082007
110593130,500,856682
110593131,1957,1074064
110593132,1579,1115509
110593133,1835,2230920
110593134,1601,1568458
110593135,791,2008673
110593136,2031,2277867
